file_name,topo1,topo2,topo3,topo4,address,yandex_map,address_short
achinsk,Ачинск,в Ачинске,по Ачинску,Ачинска,"Ачинск, улица Свердлова, 17",3Aa7e849ca9436c6366c5781532483e631cd57dd55be9fa5fce920914bc89b13dc,"улица Свердлова, 17"
zheleznogorsk,Железногорск,в Железногорске,по Железногорску,Железногорска,"Железногорск, улица Ленина, 50",3Abedac61f10d21f7f21bc0d5058d3b909f17e02e0bd3c8dc4bd8b15150b4ea6fe,"улица Ленина, 50"
kansk,Канск,в Канске,по Канску,Канска,"Канск, улица 40 лет Октября, 55",3A9faa3ae00f61967c6f7c4168e2bdce423e824fcdead52b958fc9831a3ad4550c,"улица 40 лет Октября, 55"
lesosibirsk,Лесосибирск,в Лесосибирске,по Лесосибирску,Лесосибирска,"Лесосибирск, улица Победы, 7",3A4133417ecb6d1929372ff353bf294656c6c05398674b198f691a7da1a8932dc5,"улица Победы, 7"
minusinsk,Минусинск,в Минусинске,по Минусинску,Минусинска,"Минусинск, улица Абаканская, 59",3A1d96fe20c85fed1c5898a379be210c1b9bea01aea1a6352c51e236c0cfde4b9d,"улица Абаканская, 59"
nazarovo,Назарово,в Назарово,по Назарово,Назарово,"Назарово, улица Арбузова, 83",3A1e62ab02183d11998aa0783eb0c0db8185488ed0cca2dbc62d2660ff84850014,"улица Арбузова, 83"
norilsk,Норильск,в Норильске,по Норильску,Норильска,"Норильск, улица Ленинский проспект, 33",3A4ebf7497140ea97f63d81437a7d015d6eb8acf9ab041c3a8175f6df513478c9b,"улица Ленинский проспект, 33"
sosnovoborsk,Сосновоборск,в Сосновоборске,по Сосновоборску,Сосновоборска,"Сосновоборск, улица Ленинского Комсомола, 35",3A929a0e51298e62acc80b55d011ca92e367b5e22679e4d24c537f9c18f46fb6bc,"улица Ленинского Комсомола, 35"
chelyabinsk,Челябинск,в Челябинске,по Челябинску,Челябинска,"Челябинск, улица Сталеваров, 5, корпус А",3Abb040e8e018d3f9eb75a78e05c513e5a6dfd02febd77b2aeb505f33d1fc43d3b,"улица Сталеваров, 5, корпус А"
zlatoust,Златоуст,в Златоусте,по Златоусту,Златоуста,"Златоуст, пр-кт Мира, 22",3A6304e25e05ee229097bd4d94a0975db3f2cbbe614e6acbead2f43e026faf94dd,"пр-кт Мира, 22"
kopeysk,Копейск,в Копейске,по Копейску,Копейска,"Копейск, пр-кт Славы, 8",3Add62156e3564785631be7de1760da2c481539b91167e978ea2d1ece7ca6a1abb,"пр-кт Славы, 8"
magnitogorsk,Магнитогорск,в Магнитогорске,по Магнитогорску,Магнитогорска,"Магнитогорск, пр-кт Карла Маркса, 172",3A444cde6bbed9aca3a1240353b9d500df364870a42463afc6d23f242f667bbbd2,"пр-кт Карла Маркса, 172"
miass,Миасс,в Миассе,по Миассу,Миасса,"Миасс, проспект Октября, 69А",3A5c43c937ba198f27497ed6a61742382410e694200dde6f532a926cd363a7317c,"проспект Октября, 69А"
samara,Самара,в Самаре,по Самаре,Самары,"Самара, улица Скляренко, 18",3Ae82e06e47c6b44fcf6919b9b73b1e6bc826a1930d3ffa9f3c11a862aa4053f5b,"улица Скляренко, 18"
tolyatti,Тольятти,в Тольятти,по Тольятти,Тольятти,"Тольятти, Ленинградская улица, 68В",3Abdd49205726cc5c95349b98b3cf33917d01fe3b5d8bdd00cbf71b4a1fa0b71fd,"Ленинградская улица, 68В"
syzran,Сызрань,в Сызрани,по Сызрани,Сызрани,"Сызрань, Базарная площадь, 8",3A822f6be25c9c864fefc82f7ea81f58a731eec643bcabd96b4ff2f6767e260a15,"Базарная площадь, 8"
